,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500
0.01,3.18554,3.21001,3.20347,3.18874,3.1784,3.20473,3.18965,3.19632,3.16805,3.15135,3.15494,3.15519,3.13002,3.13991,3.14258,3.13452,3.14453,3.14195,3.12085,3.11184,3.10861
0.02,3.1758,3.15837,3.18664,3.16016,3.18172,3.14301,3.15032,3.12762,3.16245,3.1222,3.14552,3.16308,3.15896,3.13992,3.11972,3.1238,3.13331,3.12039,3.16292,3.15092,3.14825
0.03,3.17086,3.18525,3.15892,3.16319,3.16438,3.16675,3.16856,3.15384,3.14965,3.17044,3.15844,3.16015,3.15787,3.15354,3.14366,3.15476,3.15805,3.17151,3.1317,3.10717,3.12787
0.04,3.19727,3.20259,3.18467,3.16685,3.16745,3.15584,3.16697,3.13531,3.14221,3.13492,3.14058,3.14573,3.14461,3.1312,3.10965,3.08948,3.09009,3.0878,3.06864,3.07153,3.06505
0.05,3.16049,3.16908,3.1769,3.16177,3.14624,3.12779,3.12514,3.116,3.1207,3.11075,3.10752,3.08364,3.0843,3.06264,3.08079,3.07549,3.06426,3.06815,3.05774,3.0597,3.04569
0.06,3.2023,3.19586,3.24087,3.2084,3.1741,3.19669,3.19307,3.19696,3.19021,3.16777,3.15626,3.18652,3.17404,3.15711,3.14216,3.13047,3.12975,3.13231,3.10654,3.10381,3.08497
0.07,3.16664,3.17974,3.1668,3.17191,3.17294,3.17166,3.1818,3.1504,3.15272,3.15012,3.13474,3.11761,3.11688,3.10075,3.10227,3.10798,3.08167,3.09448,3.09226,3.09504,3.09581
0.08,3.2064,3.22798,3.20895,3.19451,3.206,3.18677,3.19912,3.17973,3.17162,3.16295,3.15999,3.16479,3.14951,3.13944,3.13778,3.13969,3.13305,3.13966,3.12897,3.09812,3.10275
0.09,3.18612,3.19182,3.20559,3.18692,3.17567,3.17426,3.16884,3.17589,3.17626,3.16255,3.14341,3.13212,3.11385,3.11892,3.12271,3.10778,3.10904,3.11831,3.11086,3.12283,3.09454
0.1,3.17987,3.16437,3.15581,3.17441,3.16984,3.1737,3.14319,3.13789,3.13461,3.14458,3.12745,3.11508,3.11254,3.1185,3.10944,3.09618,3.09269,3.108,3.10226,3.09658,3.09518
