,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500
0.01,0.0499501,0.0501174,0.0507532,0.0511984,0.0507302,0.0518314,0.0528958,0.0542297,0.0530479,0.0525912,0.053903,0.052776,0.0539739,0.0552922,0.0580385,0.0552733,0.0559392,0.0551333,0.0553675,0.0559785,0.0562414
0.02,0.0498107,0.0537385,0.0527452,0.0524578,0.0507215,0.0507887,0.0511402,0.0519855,0.0541579,0.0551743,0.059661,0.0587801,0.0575048,0.0576874,0.0603074,0.0594479,0.0597355,0.060659,0.0588628,0.0584596,0.0583261
0.03,0.0512012,0.0522181,0.0549235,0.0510083,0.0537576,0.0551085,0.0571711,0.0559757,0.0571139,0.0579328,0.0587969,0.0589914,0.0616326,0.0560898,0.0570523,0.0571527,0.057342,0.056728,0.0576766,0.0557518,0.0562437
0.04,0.0499812,0.0536454,0.0534014,0.0545407,0.0534348,0.0545737,0.0532382,0.0531219,0.0527915,0.0533342,0.0549362,0.0543437,0.0557016,0.0545042,0.0534536,0.053722,0.0541629,0.0528896,0.0529053,0.0526357,0.0543027
0.05,0.0514357,0.0540599,0.0527414,0.0543053,0.0550083,0.0576977,0.0573249,0.05584,0.0573043,0.0566687,0.0542024,0.0539922,0.056013,0.0548095,0.0547483,0.0521312,0.0527906,0.0547456,0.0547855,0.0544672,0.0533448
0.06,0.0501493,0.0542043,0.0564852,0.0574866,0.0589225,0.0588099,0.0569266,0.0651043,0.0608863,0.0611802,0.0612199,0.0601554,0.0616773,0.0602437,0.0600862,0.0611041,0.0607285,0.0629314,0.0606871,0.0615841,0.0627233
0.07,0.0512668,0.0521634,0.0531332,0.0545677,0.0563426,0.0571499,0.0553579,0.0544371,0.055519,0.0561606,0.0562469,0.0558459,0.0587281,0.0579784,0.0563669,0.0569054,0.0582373,0.0579435,0.0576675,0.0601867,0.060581
0.08,0.0552256,0.0548007,0.057976,0.0551847,0.0571953,0.0564974,0.059473,0.0576205,0.058422,0.0572899,0.0596787,0.0573603,0.0561498,0.0553645,0.057224,0.0564243,0.0562725,0.0559661,0.0559044,0.0552147,0.0553363
0.09,0.0553764,0.0553795,0.0529682,0.0560224,0.056151,0.0554403,0.056069,0.0569158,0.0576715,0.0576655,0.0561573,0.0568234,0.0577166,0.0580175,0.0573127,0.0575256,0.0594528,0.0585467,0.0626929,0.0621358,0.0603576
0.1,0.0572547,0.0601347,0.0585339,0.056738,0.0578128,0.0569254,0.0585435,0.0580143,0.0578889,0.0591622,0.057987,0.0579894,0.05719,0.0563793,0.0559619,0.0561363,0.0569112,0.0559728,0.0565092,0.0557032,0.0577611
