,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500
0.01,1.62224,1.62906,1.61935,1.6235,1.61591,1.62179,1.61378,1.60371,1.6056,1.61385,1.63575,1.64161,1.65428,1.67311,1.66469,1.66195,1.66191,1.67376,1.66816,1.66691,1.66116
0.02,1.61387,1.6194,1.64441,1.64784,1.65397,1.66405,1.66834,1.67632,1.67534,1.67828,1.68782,1.6997,1.69741,1.69082,1.69341,1.69924,1.6934,1.70792,1.69835,1.69432,1.68364
0.03,1.64521,1.65026,1.66164,1.66061,1.6627,1.66494,1.67314,1.67816,1.68629,1.68521,1.68789,1.69511,1.67973,1.69415,1.697,1.6871,1.69364,1.69271,1.70801,1.69,1.68433
0.04,1.65484,1.6708,1.67886,1.69612,1.69108,1.69086,1.68787,1.70463,1.69232,1.69301,1.70885,1.6988,1.70244,1.70098,1.69365,1.70352,1.69875,1.69461,1.70112,1.68579,1.68353
0.05,1.65367,1.63783,1.67915,1.64882,1.66536,1.67547,1.67365,1.66613,1.67127,1.67809,1.68699,1.68534,1.67843,1.69068,1.68493,1.68962,1.68831,1.70006,1.69431,1.69259,1.69704
0.06,1.67236,1.67308,1.70205,1.69457,1.71436,1.70052,1.68997,1.69364,1.68727,1.69622,1.68918,1.68107,1.68619,1.68483,1.67477,1.67789,1.67888,1.67809,1.68444,1.67431,1.67292
0.07,1.63001,1.64389,1.66105,1.67139,1.67949,1.69155,1.70248,1.6928,1.69966,1.69526,1.70416,1.69984,1.7036,1.71318,1.7055,1.71308,1.70166,1.70629,1.70899,1.69873,1.70066
0.08,1.65806,1.66178,1.68576,1.67463,1.6828,1.68326,1.69269,1.68657,1.70615,1.71004,1.71326,1.71233,1.71786,1.70804,1.70018,1.70087,1.70117,1.70153,1.71226,1.7171,1.7189
0.09,1.66044,1.65587,1.65836,1.66561,1.67577,1.681,1.68936,1.68243,1.68869,1.6878,1.67856,1.68573,1.68096,1.67103,1.67075,1.66824,1.67072,1.665,1.67876,1.67143,1.673
0.1,1.64029,1.63411,1.64941,1.66792,1.66082,1.65263,1.66664,1.67433,1.67401,1.6823,1.68942,1.69054,1.68071,1.66553,1.67841,1.67916,1.67952,1.68494,1.67803,1.67583,1.67378
