,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_base_estimator__max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
13,38.8853549957,0.80585706234,0.262885964625,14.9584763698,2,230,"{'n_estimators': 230, 'base_estimator__max_depth': 2}",48,0.259886154921,15.141351102,0.265885774329,14.7756016376,0.502650022507,0.00523602962494,0.002999809704,0.182874732242
14,40.4422529936,0.83539545536,0.262716510676,14.9540592992,2,240,"{'n_estimators': 240, 'base_estimator__max_depth': 2}",77,0.259665793424,15.1446763018,0.265767227928,14.7634422967,0.378457903862,0.00434243679047,0.00305071725169,0.190617002562
15,42.5017174482,0.86689555645,0.263091081624,14.9869693483,2,250,"{'n_estimators': 250, 'base_estimator__max_depth': 2}",18,0.260210132587,15.2177590922,0.265972030661,14.7561796043,0.0703545808792,0.00813162326813,0.00288094903689,0.230789743948
16,43.7121789455,0.89632499218,0.262707566212,15.0115188798,2,260,"{'n_estimators': 260, 'base_estimator__max_depth': 2}",80,0.259799887282,15.2485454658,0.265615245142,14.7744922938,0.317260980606,0.00638806819916,0.00290767892976,0.237026586017
17,45.4328590631,0.925844907761,0.262953966158,15.0076988468,2,270,"{'n_estimators': 270, 'base_estimator__max_depth': 2}",38,0.260083432028,15.2118192292,0.265824500287,14.8035784645,0.356357932091,0.00360202789307,0.0028705341293,0.204120382346
18,47.0651990175,0.954293370247,0.262859194482,15.0122014645,2,280,"{'n_estimators': 280, 'base_estimator__max_depth': 2}",52,0.260147329406,15.2325467366,0.265571059557,14.7918561925,0.34315097332,0.00582444667816,0.00271186507564,0.220345272051
19,48.6393824816,0.984025001526,0.263073290797,15.013885938,2,290,"{'n_estimators': 290, 'base_estimator__max_depth': 2}",20,0.260194140471,15.2203197815,0.265952441122,14.8074520945,0.24077641964,0.00543999671936,0.00287915032541,0.206433843496
20,50.1135150194,1.01478099823,0.262998621817,15.0312180961,2,300,"{'n_estimators': 300, 'base_estimator__max_depth': 2}",30,0.260171101054,15.2416308044,0.26582614258,14.8208053878,0.0395759344101,0.00633096694946,0.00282752076281,0.210412708282
21,51.7786194086,1.04112553596,0.262942712102,15.0397114662,2,310,"{'n_estimators': 310, 'base_estimator__max_depth': 2}",41,0.2600176155,15.2539099795,0.265867808703,14.825512953,0.00980651378632,0.00396752357483,0.00292509660189,0.214198513217
22,53.5742144585,1.12376463413,0.262949529824,15.0435602109,2,320,"{'n_estimators': 320, 'base_estimator__max_depth': 2}",39,0.259797132783,15.254257347,0.266101926866,14.8328630749,0.173079490662,0.0558084249496,0.0031523970413,0.21069713604
23,55.3909903765,1.10157060623,0.263435411568,15.0365973917,2,330,"{'n_estimators': 330, 'base_estimator__max_depth': 2}",1,0.260597357013,15.2437579673,0.266273466123,14.8294368161,0.299766421318,0.00555849075317,0.0028380545554,0.207160575628
24,56.9899543524,1.12993204594,0.263019705894,15.0279760496,2,340,"{'n_estimators': 340, 'base_estimator__max_depth': 2}",25,0.259760147598,15.243000113,0.26627926419,14.8129519862,0.226555466652,0.00530898571014,0.0032595582958,0.215024063409
25,58.4911135435,1.16133999825,0.263129219478,15.0606232727,2,350,"{'n_estimators': 350, 'base_estimator__max_depth': 2}",14,0.260155417373,15.2909852251,0.266103021584,14.8302613203,0.0560804605484,0.00669693946838,0.00297380210555,0.230361952366
26,60.5103038549,1.191588521,0.263099497151,15.080585152,2,360,"{'n_estimators': 360, 'base_estimator__max_depth': 2}",17,0.26014558613,15.3199043796,0.266053408171,14.8412659245,0.424769997597,0.0100735425949,0.00295391102064,0.239319227594
27,61.7646870613,1.21827590466,0.263055694056,15.0789642598,2,370,"{'n_estimators': 370, 'base_estimator__max_depth': 2}",22,0.260226780464,15.3158483456,0.265884607649,14.8420801741,7.39097595215e-05,0.00591099262238,0.00282891359246,0.236884085761
28,63.4517130852,1.24804842472,0.263132588305,15.0888239504,2,380,"{'n_estimators': 380, 'base_estimator__max_depth': 2}",13,0.260171313246,15.3364583965,0.266093863364,14.8411895043,0.0199499130249,0.00958740711212,0.00296127505883,0.247634446095
29,65.1472854614,1.27925360203,0.262925851071,15.0954496799,2,390,"{'n_estimators': 390, 'base_estimator__max_depth': 2}",44,0.260084750962,15.3432040344,0.26576695118,14.8476953254,0.00959038734436,0.0109325647354,0.00284110010936,0.247754354512
30,66.7693430185,1.30972492695,0.263295867654,15.0944270639,2,400,"{'n_estimators': 400, 'base_estimator__max_depth': 2}",3,0.260149472446,15.3401846124,0.266442262861,14.8486695154,0.0182379484177,0.0100649595261,0.00314639520737,0.245757548499
31,24.4911110401,0.519253015518,0.263194158658,15.1643538719,3,100,"{'n_estimators': 100, 'base_estimator__max_depth': 3}",8,0.260597163205,15.2533125487,0.265791154112,15.075395195,0.0317749977112,0.00422787666321,0.0025969954532,0.0889586768744
32,26.9346989393,0.559725642204,0.262838835219,15.1831488753,3,110,"{'n_estimators': 110, 'base_estimator__max_depth': 3}",57,0.25967013262,15.3021819307,0.266007537818,15.06411582,0.0538438558578,0.00465047359467,0.00316870259901,0.119033055322
33,29.3794715405,0.601283431053,0.262964313875,15.2893284097,3,120,"{'n_estimators': 120, 'base_estimator__max_depth': 3}",33,0.259954026896,15.340577654,0.265974600853,15.2380791653,0.0636556148529,0.00399363040924,0.00301028697873,0.0512492443458
34,31.824139595,0.642868876457,0.263136037653,15.3422454139,3,130,"{'n_estimators': 130, 'base_estimator__max_depth': 3}",12,0.259942119906,15.4121667174,0.266329955401,15.2723241105,0.0480065345764,0.00371396541595,0.00319391774703,0.0699213034523
35,34.2891229391,0.682937502861,0.262667523201,15.3602234528,3,140,"{'n_estimators': 140, 'base_estimator__max_depth': 3}",83,0.259639923499,15.4575580167,0.265695122904,15.2628888889,0.0541080236435,0.00259649753571,0.00302759970267,0.0973345639392
36,36.7464544773,0.722019910812,0.262824752803,15.3936940909,3,150,"{'n_estimators': 150, 'base_estimator__max_depth': 3}",61,0.259808314639,15.4480447916,0.265841190966,15.3393433902,0.0550246238708,0.000802040100098,0.00301643816369,0.0543507007278
37,39.6040815115,0.760959625244,0.262961402877,15.4573021243,3,160,"{'n_estimators': 160, 'base_estimator__max_depth': 3}",34,0.260046030855,15.5279599412,0.265876774899,15.3866443075,0.451013445854,0.00239849090576,0.00291537202229,0.0706578168573
38,41.6620010138,0.799605488777,0.262853902769,15.5207686584,3,170,"{'n_estimators': 170, 'base_estimator__max_depth': 3}",55,0.25994759427,15.636818779,0.265760211268,15.4047185377,0.042851805687,2.72989273071e-05,0.0029063084993,0.116050120625
