EventNumber,mBB,dRBB,dPhiVBB,dPhiLBmin,Mtop,dYWH,pTV,pTB1,pTB2,mTW,MET
8693084,71.8043823242,0.638572335243,3.05341887474,2.12857246399,232175.78125,0.0536322779953,225482.078125,184.288269043,52.1773681641,76277.953125,156.421401978
27168801,175.0,2.4736354351,3.13874673843,0.306210041046,175341.28125,0.0568365827203,178385.5625,198.906311035,52.4804992676,215000.0,244.916183472
389941,175.0,2.49136424065,3.12899851799,0.883534908295,494816.15625,1.26273560524,322053.4375,350.0,180.0,62377.171875,272.448059082
2898918,175.0,3.65355730057,3.12160158157,0.339172124863,136485.71875,0.379985123873,216366.84375,227.344009399,26.4238700867,96375.8828125,105.540046692
1767428,175.0,3.10754108429,3.08780288696,0.450599133968,434831.25,1.37125241756,158587.703125,350.0,180.0,71519.046875,72.6080627441
6118144,43.8098945618,0.483174413443,3.05797982216,2.82221508026,181554.09375,1.88641047478,166968.234375,146.074142456,24.0475597382,1771.19702148,67.2262649536
638475,175.0,3.06940627098,3.14143919945,0.204203605652,169739.921875,0.395574420691,450000.0,350.0,180.0,874.732177734,320.0
511079,175.0,2.73200774193,3.13555121422,1.24786818027,145345.09375,0.364660054445,241578.421875,285.22442627,53.9004402161,57805.2851562,141.117034912
37441562,115.324668884,1.44665277004,3.07699847221,2.39856171608,235291.296875,0.993095755577,151111.796875,80.0774765015,75.1474151611,29116.8652344,110.500289917
2215638,175.0,2.01482486725,3.13628363609,1.58512806892,233986.484375,0.602024793625,227520.953125,238.299423218,59.9272766113,17213.9355469,144.613754272
24546110,175.0,2.9733839035,3.04944133759,0.553710401058,228394.515625,0.44132900238,225453.65625,350.0,180.0,93266.1953125,196.246322632
16547226,175.0,3.41305017471,3.1315279007,0.253559708595,152870.34375,0.0186900608242,160221.96875,208.238433838,34.2565002441,10348.3515625,87.0185470581
996736,126.232879639,1.82460927963,3.11615538597,1.97768509388,194401.046875,0.468363910913,176643.484375,166.884765625,21.7516174316,18287.0449219,116.987487793
4962736,175.0,2.2651181221,3.13526511192,1.25698888302,429997.40625,2.85121297836,158162.109375,198.817550659,80.793510437,14601.0888672,30.4488658905
7190141,175.0,1.97722864151,3.11585140228,1.95381820202,203113.4375,1.31178474426,161507.09375,118.319381714,53.3503646851,82426.3046875,138.308441162
