,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_base_estimator__max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,4.22769606113,0.171450853348,0.543713038901,24.3899936484,2,100,"{'n_estimators': 100, 'base_estimator__max_depth': 2}",91,0.544938759523,24.4772511597,0.542487255006,24.3027361371,0.0360480546951,0.00995898246765,0.00122575225778,0.0872575113109
1,4.63454890251,0.173335075378,0.543568772197,24.4149680935,2,110,"{'n_estimators': 110, 'base_estimator__max_depth': 2}",93,0.545369199682,24.4836566775,0.541768251773,24.3462795095,0.0984530448914,0.0283141136169,0.00180047395381,0.0686885839934
2,5.15976393223,0.156274080276,0.544025863347,24.4256928792,2,120,"{'n_estimators': 120, 'base_estimator__max_depth': 2}",86,0.545239434266,24.5110613221,0.542812229783,24.3403244364,0.117352843285,0.000974893569946,0.00121360224085,0.085368442867
3,5.4413664341,0.199393033981,0.544486936004,24.436085696,2,130,"{'n_estimators': 130, 'base_estimator__max_depth': 2}",73,0.545921334786,24.527417636,0.543052463178,24.344753756,0.157387495041,0.0342500209808,0.00143443580368,0.0913319400119
4,6.00009989738,0.174084544182,0.544533877145,24.4441736157,2,140,"{'n_estimators': 140, 'base_estimator__max_depth': 2}",72,0.545812886287,24.5420870722,0.543254801979,24.3462601592,0.0573689937592,0.00091540813446,0.00127904215373,0.0979134564613
5,6.38779091835,0.214239597321,0.543807840159,24.4614386889,2,150,"{'n_estimators': 150, 'base_estimator__max_depth': 2}",89,0.544775672199,24.5193626702,0.542839958159,24.4035147076,0.276404857635,0.0319113731384,0.000967857019497,0.057923981304
6,6.68130099773,0.220118999481,0.543613971232,24.5752417902,2,160,"{'n_estimators': 160, 'base_estimator__max_depth': 2}",92,0.54478644629,24.5378045236,0.542441435651,24.6126790569,0.278948903084,0.0254240036011,0.00117250531912,0.0374372666568
7,7.29359304905,0.20734000206,0.543920437029,24.5697223561,2,170,"{'n_estimators': 170, 'base_estimator__max_depth': 2}",88,0.545630171854,24.535892044,0.542210613946,24.6035526683,0.132217049599,0.00201106071472,0.00170977895306,0.0338303121593
8,7.32203197479,0.215721011162,0.544030452717,24.562517514,2,180,"{'n_estimators': 180, 'base_estimator__max_depth': 2}",85,0.545661514354,24.5325253548,0.542399306884,24.5925096731,0.0522689819336,0.00119292736053,0.0016311037343,0.0299921591485
9,7.99297749996,0.22407245636,0.54491045367,24.5704765231,2,190,"{'n_estimators': 190, 'base_estimator__max_depth': 2}",55,0.546022556754,24.5277762669,0.543798293178,24.6131767792,0.31586253643,0.00129747390747,0.00111213178739,0.0427002561659
10,8.39198207855,0.233916401863,0.544740156158,24.6846309422,2,200,"{'n_estimators': 200, 'base_estimator__max_depth': 2}",61,0.546737786381,24.7037101742,0.542742422815,24.6655517102,0.299895048141,0.000110507011414,0.00199768178223,0.0190792320179
11,9.13412106037,0.293300509453,0.545326446809,24.7257870235,2,210,"{'n_estimators': 210, 'base_estimator__max_depth': 2}",33,0.546500714389,24.7083319623,0.544152118613,24.7432420847,0.191671013832,0.050120472908,0.00117429788791,0.0174550612004
12,9.32734704018,0.252778410912,0.545903539133,24.7156332668,2,220,"{'n_estimators': 220, 'base_estimator__max_depth': 2}",13,0.546961149086,24.7140804938,0.544845874586,24.7171860398,0.185230016708,0.000928521156311,0.00105763724984,0.00155277297519
13,10.1975054741,0.262807130814,0.54586751615,24.7132635712,2,230,"{'n_estimators': 230, 'base_estimator__max_depth': 2}",14,0.547292460779,24.6831381962,0.544442497964,24.7433889462,0.0283114910126,0.000663042068481,0.0014249814072,0.030125375
14,10.5208934546,0.3718354702,0.54580945644,24.7248816905,2,240,"{'n_estimators': 240, 'base_estimator__max_depth': 2}",15,0.54775944822,24.7028667115,0.543859364,24.7468966695,0.0255125761032,0.0100145339966,0.00195004210959,0.0220149789781
15,10.8401750326,0.282592535019,0.545724038155,24.7277260859,2,250,"{'n_estimators': 250, 'base_estimator__max_depth': 2}",18,0.547897571253,24.7288100451,0.543550392858,24.7266421267,0.130674958229,0.00108861923218,0.00217358919692,0.00108395920327
16,11.2766059637,0.408575534821,0.545947315684,24.7921388637,2,260,"{'n_estimators': 260, 'base_estimator__max_depth': 2}",11,0.548141215727,24.7823309152,0.543753302389,24.8019468121,0.173200011253,0.000288486480713,0.00219395666824,0.00980794847178
17,11.7792439461,0.333904981613,0.54567837447,24.7681993661,2,270,"{'n_estimators': 270, 'base_estimator__max_depth': 2}",22,0.547100588691,24.7683319364,0.544256086834,24.7680667957,0.0428719520569,0.0300619602203,0.0014222509278,0.000132570311388
18,12.3125109673,0.374464035034,0.54494803668,24.8072953233,2,280,"{'n_estimators': 280, 'base_estimator__max_depth': 2}",54,0.54612609942,24.8039399694,0.543769913127,24.8106506771,0.0749769210815,0.00396704673767,0.00117809314615,0.00335535385743
19,12.6271129847,0.383069038391,0.544457020841,24.8254720438,2,290,"{'n_estimators': 290, 'base_estimator__max_depth': 2}",76,0.545429911447,24.86950144,0.543484080014,24.7814426477,0.0720280408859,0.0625441074371,0.000972915715891,0.0440293961524
20,13.2622364759,0.357370018959,0.544644155334,24.8383594372,2,300,"{'n_estimators': 300, 'base_estimator__max_depth': 2}",66,0.54584652034,24.8515662323,0.543441728261,24.8251526422,0.0385245084763,0.0282880067825,0.00120239603925,0.0132067950312
21,13.7139035463,0.336444497108,0.544485610785,24.8563237003,2,310,"{'n_estimators': 310, 'base_estimator__max_depth': 2}",74,0.544319128186,24.8708867832,0.544652101977,24.8417606174,0.18787753582,0.000403523445129,0.000166486895321,0.0145630828989
22,14.1411349773,0.375232577324,0.545650170587,24.8833546764,2,320,"{'n_estimators': 320, 'base_estimator__max_depth': 2}",25,0.545467806991,24.8892084423,0.545832543597,24.8775009105,0.0558128356934,0.0287164449692,0.000182368302954,0.00585376587676
23,14.4197039604,0.422401428223,0.545363134245,24.9466219509,2,330,"{'n_estimators': 330, 'base_estimator__max_depth': 2}",29,0.545189068593,24.9559638989,0.545537208882,24.9372800029,0.0470440387726,0.0674824714661,0.00017407014427,0.00934194799948
24,14.8277879953,0.438708424568,0.545044134794,24.9462045331,2,340,"{'n_estimators': 340, 'base_estimator__max_depth': 2}",48,0.545906894653,24.9154841734,0.544181330399,24.9769248928,0.317598938942,0.0727604627609,0.000862782126995,0.0307203596719
25,15.1337939501,0.375592470169,0.544957007368,24.9549974017,2,350,"{'n_estimators': 350, 'base_estimator__max_depth': 2}",52,0.546266561502,24.9082055844,0.543647385634,25.001789219,0.000712037086487,0.00067663192749,0.00130958793352,0.0467918172947
26,15.6962460279,0.383394956589,0.54487308011,24.9463733098,2,360,"{'n_estimators': 360, 'base_estimator__max_depth': 2}",57,0.546597029678,24.8927694589,0.54314904155,24.9999771607,0.226685166359,0.00049614906311,0.00172399406357,0.0536038509247
27,16.3109920025,0.411217927933,0.544739408565,24.9685337519,2,370,"{'n_estimators': 370, 'base_estimator__max_depth': 2}",62,0.545064940065,24.9026207692,0.544413860261,25.0344467345,0.124144077301,0.0179159641266,0.000325539902054,0.0659129826552
28,16.745272994,0.4058624506,0.545079103416,25.0380297398,2,380,"{'n_estimators': 380, 'base_estimator__max_depth': 2}",45,0.54703158161,25.0458007389,0.543126524434,25.0302587407,0.0380359888077,0.000611424446106,0.00195252858761,0.0077709991054
29,17.1582081318,0.52892935276,0.546097247919,25.0618448122,2,390,"{'n_estimators': 390, 'base_estimator__max_depth': 2}",8,0.547582389513,25.1090674042,0.54461202966,25.0146222202,0.0935709476471,0.0459605455399,0.00148517992591,0.0472225919914
30,17.4240463972,0.46727514267,0.544852500102,25.060963189,2,400,"{'n_estimators': 400, 'base_estimator__max_depth': 2}",58,0.547017850643,25.0968681203,0.542687037783,25.0250582577,0.0630406141281,0.042407989502,0.00216540642909,0.0359049313167
31,6.39099013805,0.171433329582,0.544608205087,24.9973370196,3,100,"{'n_estimators': 100, 'base_estimator__max_depth': 3}",68,0.54602831926,24.897345861,0.543188017607,25.0973281783,0.0998510122299,0.00377547740936,0.00142015082563,0.099991158628
32,7.01474952698,0.184146046638,0.544364367362,25.0125918063,3,110,"{'n_estimators': 110, 'base_estimator__max_depth': 3}",79,0.546559978738,24.9298637467,0.542168642646,25.0953198659,0.153921604156,0.00259411334991,0.00219566804539,0.0827280596028
33,7.7089830637,0.197548866272,0.544161662643,25.1105924788,3,120,"{'n_estimators': 120, 'base_estimator__max_depth': 3}",81,0.545737170954,24.9808937084,0.542586073002,25.2402912491,0.0382000207901,0.00295805931091,0.00157554897545,0.129698770318
34,8.28910398483,0.209847927094,0.545137277174,25.1391651913,3,130,"{'n_estimators': 130, 'base_estimator__max_depth': 3}",41,0.547402402329,25.0553156648,0.542872035091,25.2230147178,0.0423700809479,0.00241804122925,0.00226518361851,0.0838495264891
35,8.90880906582,0.313423037529,0.543935715158,25.1876271303,3,140,"{'n_estimators': 140, 'base_estimator__max_depth': 3}",87,0.545103173547,25.1778544244,0.542768196503,25.1973998362,0.067242026329,0.00298202037811,0.0011674885215,0.00977270591687
36,9.57522594929,0.235291004181,0.544469851989,25.2470251654,3,150,"{'n_estimators': 150, 'base_estimator__max_depth': 3}",75,0.545357610319,25.2398022755,0.543582047831,25.2542480553,0.0151611566544,0.00295686721802,0.000887781243874,0.00722288993629
37,10.2945148945,0.304719567299,0.544980555392,25.3350580377,3,160,"{'n_estimators': 160, 'base_estimator__max_depth': 3}",51,0.547300436193,25.382007575,0.542660554837,25.2881085005,0.0903720855713,0.0403715372086,0.00231994067764,0.0469495372273
38,10.7766419649,0.326946496964,0.544556426671,25.440386579,3,170,"{'n_estimators': 170, 'base_estimator__max_depth': 3}",70,0.546206768448,25.472953913,0.542905999702,25.407819245,0.0663059949875,0.0397174358368,0.00165038437241,0.0325673340291
39,11.4478689432,0.341066002846,0.544093342923,25.5140741869,3,180,"{'n_estimators': 180, 'base_estimator__max_depth': 3}",83,0.545682876767,25.589808567,0.542503727026,25.4383398067,0.00975000858307,0.0405160188675,0.00158957486951,0.0757343801505
40,12.0648339987,0.338296532631,0.544369119881,25.5723130105,3,190,"{'n_estimators': 190, 'base_estimator__max_depth': 3}",78,0.545912309157,25.6490354274,0.542825850945,25.4955905936,0.0236328840256,0.0395265817642,0.00154322910547,0.0767224169211
41,12.5908309221,0.299302101135,0.544626113135,25.6409623769,3,200,"{'n_estimators': 200, 'base_estimator__max_depth': 3}",67,0.546005713416,25.7212928707,0.543246441637,25.560631883,0.00443184375763,0.00142192840576,0.00137963588935,0.0803304938542
42,13.3633825779,0.315807938576,0.545184239256,25.7548261941,3,210,"{'n_estimators': 210, 'base_estimator__max_depth': 3}",39,0.547955039756,25.871816014,0.542413295725,25.6378363741,0.167585611343,0.00348198413849,0.00277087201468,0.116989819951
43,13.5281908512,0.324554562569,0.545694584593,25.8137280577,3,220,"{'n_estimators': 220, 'base_estimator__max_depth': 3}",21,0.547640154689,25.9759968488,0.543748914064,25.6514592666,0.112323045731,0.000177502632141,0.00194562031194,0.162268791072
44,14.7010610104,0.336337447166,0.54504749689,25.9508267985,3,230,"{'n_estimators': 230, 'base_estimator__max_depth': 3}",47,0.54747966498,26.0911220857,0.54261520325,25.8105315113,0.183130979538,0.000650525093079,0.00243223086377,0.140295287168
45,15.251811862,0.348915100098,0.545186227516,25.9956577146,3,240,"{'n_estimators': 240, 'base_estimator__max_depth': 3}",38,0.547530666203,26.1234413847,0.542841667808,25.8678740444,0.209513068199,1.00135803223e-05,0.00234449919645,0.127783670145
