,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_base_estimator__max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
14,40.7490179539,0.527928590775,1.10316394407,53.5033695284,2,190,"{'n_estimators': 190, 'base_estimator__max_depth': 2}",250,1.07942876228,54.5447899178,1.12689912586,52.4619491391,1.26944303513,0.00233149528503,0.0237351817913,1.04142038934
15,40.5731316805,0.551074385643,1.10761967728,53.8664200946,2,200,"{'n_estimators': 200, 'base_estimator__max_depth': 2}",247,1.07694715217,54.6606804006,1.13829220239,53.0721597886,1.10593950748,0.00333559513092,0.0306725251099,0.794260306024
16,46.7946455479,0.587295413017,1.10762304808,53.8684975133,2,210,"{'n_estimators': 210, 'base_estimator__max_depth': 2}",246,1.07699694094,54.6624927704,1.13824915522,53.0745022561,0.529870510101,0.0275646448135,0.0306261071424,0.793995257171
17,47.7060645819,0.550419092178,1.11266729404,53.692338251,2,220,"{'n_estimators': 220, 'base_estimator__max_depth': 2}",238,1.08141581735,54.5923546678,1.14391877074,52.7923218343,2.59375655651,0.0147950649261,0.0312514766935,0.900016416751
18,47.8916898966,0.591152667999,1.11106611314,54.2723147158,2,230,"{'n_estimators': 230, 'base_estimator__max_depth': 2}",240,1.0834206872,54.4509260345,1.13871153907,54.0937033972,0.0136510133743,0.00519251823425,0.0276454259346,0.178611318664
19,51.5181680918,0.597466468811,1.1138886434,54.404130377,2,240,"{'n_estimators': 240, 'base_estimator__max_depth': 2}",234,1.09004760471,54.7428196563,1.13772968208,54.0654410977,0.593799948692,0.00419449806213,0.0238410386878,0.338689279323
20,53.1916974783,0.797819018364,1.10921195062,54.2964923444,2,250,"{'n_estimators': 250, 'base_estimator__max_depth': 2}",243,1.08395123281,54.7262733529,1.13447266843,53.8667113359,0.955669522285,0.181650996208,0.0252607178129,0.429781008501
21,55.7313486338,0.802948474884,1.11247239576,54.2577475713,2,260,"{'n_estimators': 260, 'base_estimator__max_depth': 2}",239,1.08389973807,54.6913815095,1.14104505345,53.8241136331,2.75587451458,0.16867852211,0.0285726576882,0.433633938227
22,57.1809140444,0.856251478195,1.10747661188,54.3533139735,2,270,"{'n_estimators': 270, 'base_estimator__max_depth': 2}",248,1.08374259073,54.8260743725,1.13121063303,53.8805535744,1.80973303318,0.22274851799,0.0237340211495,0.472760399086
23,59.5869015455,0.637603998184,1.10907368113,54.3586855055,2,280,"{'n_estimators': 280, 'base_estimator__max_depth': 2}",244,1.08221581169,54.7400750958,1.13593155057,53.9772959152,0.178553462029,0.00899887084961,0.0268578694378,0.381389590348
24,61.6268526316,0.666238903999,1.11505912519,54.5640763705,2,290,"{'n_estimators': 290, 'base_estimator__max_depth': 2}",233,1.09227679788,55.0498271559,1.13784145251,54.0783255852,0.0545755624771,0.0187579393387,0.0227823273148,0.485750785327
25,62.5167459249,0.714104056358,1.11998534256,54.5291378529,2,300,"{'n_estimators': 300, 'base_estimator__max_depth': 2}",225,1.10212846393,54.979886139,1.13784222119,54.0783895668,0.369619965553,0.0291079282761,0.0178568786309,0.450748286125
26,64.2387349606,0.743967533112,1.11343964584,54.6793617522,2,310,"{'n_estimators': 310, 'base_estimator__max_depth': 2}",235,1.08979846637,55.4507152831,1.13708082532,53.9080082213,0.624528884888,0.0575516223907,0.0236411794714,0.771353530899
27,67.0481789112,0.757193565369,1.11630789888,54.6975026007,2,320,"{'n_estimators': 320, 'base_estimator__max_depth': 2}",231,1.09534816078,55.4922703818,1.13726763699,53.9027348196,0.384865045547,0.00450944900513,0.0209597381068,0.79476778113
28,66.9600325823,0.737493038177,1.11720929115,54.6717863543,2,330,"{'n_estimators': 330, 'base_estimator__max_depth': 2}",230,1.09260353595,55.4408011126,1.14181504634,53.9027715961,2.21019041538,0.00398516654968,0.0246057551969,0.769014758285
29,72.561771512,0.930647969246,1.11791183137,54.6395738414,2,340,"{'n_estimators': 340, 'base_estimator__max_depth': 2}",229,1.09063542933,55.4327984674,1.1451882334,53.8463492155,3.30747663975,0.142753958702,0.0272764020349,0.793224625963
30,76.2934584618,0.742847919464,1.11339400596,54.6733220837,2,350,"{'n_estimators': 350, 'base_estimator__max_depth': 2}",236,1.0850674038,55.4260826032,1.14172060811,53.9205615643,1.74283146858,0.024759054184,0.0283266021591,0.752760519477
31,75.8091539145,0.782958984375,1.11271165481,54.6682868931,2,360,"{'n_estimators': 360, 'base_estimator__max_depth': 2}",237,1.09074546975,55.454784944,1.13467783987,53.8817888422,3.40955889225,0.0500679016113,0.0219661850624,0.786498050872
32,78.1021355391,0.89732003212,1.11528331092,54.6864544016,2,370,"{'n_estimators': 370, 'base_estimator__max_depth': 2}",232,1.09582744239,55.3822140173,1.13473917945,53.9906947859,2.67008149624,0.12456202507,0.0194558685311,0.695759615667
33,77.1300686598,0.798488378525,1.12368107498,54.336607911,2,380,"{'n_estimators': 380, 'base_estimator__max_depth': 2}",215,1.10087768743,55.4298589672,1.14648446253,53.2433568547,0.00757348537445,0.0293405056,0.0228033875504,1.09325105627
34,78.4883550406,0.827046513557,1.11850717992,54.5010918749,2,390,"{'n_estimators': 390, 'base_estimator__max_depth': 2}",226,1.09830061939,55.2488846172,1.13871374044,53.7532991327,2.03962504864,0.00877439975739,0.0202065605235,0.747792742215
35,83.2740374804,0.847205996513,1.12564550537,54.653135984,2,400,"{'n_estimators': 400, 'base_estimator__max_depth': 2}",205,1.10226387873,55.6692596388,1.14902713201,53.6370123293,3.55200350285,0.0106641054153,0.0233816266433,1.01612365472
36,84.0824649334,0.855514526367,1.12497504941,54.6149275367,2,410,"{'n_estimators': 410, 'base_estimator__max_depth': 2}",209,1.10430709886,55.5940746805,1.14564299995,53.635780393,0.534770965576,0.0113945007324,0.0206679505448,0.979147143731
37,86.8085368872,0.852305531502,1.12572812173,54.5327565638,2,420,"{'n_estimators': 420, 'base_estimator__max_depth': 2}",204,1.10450074942,55.429751319,1.14695549405,53.6357618086,0.265723109245,0.0160495042801,0.0212273723126,0.896994755159
