,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.43579137325,0.124251127243,0.0,0.0,3,10,"{'max_features': 3, 'n_estimators': 10}",135,0.0,0.0,0.0,0.0,0.00440657138824,0.0166471004486,0.0,0.0
1,3.38041853905,0.315581560135,0.32224316208,47.5012373915,3,20,"{'max_features': 3, 'n_estimators': 20}",90,0.0,0.0,0.64448632416,95.002474783,0.685327529907,0.143101453781,0.32224316208,47.5012373915
2,4.96089744568,0.270053505898,0.157036787872,34.3220369752,3,30,"{'max_features': 3, 'n_estimators': 30}",122,0.0,0.0,0.314073575745,68.6440739504,0.588533401489,0.0383986234665,0.157036787872,34.3220369752
3,6.31998956203,0.432813405991,0.341364688937,65.2735244371,3,40,"{'max_features': 3, 'n_estimators': 40}",83,0.0,31.5630754879,0.682729377875,98.9839733863,0.636752486229,0.130903482437,0.341364688937,33.7104489492
4,7.02883350849,0.428424477577,0.493829939986,73.4764407916,3,50,"{'max_features': 3, 'n_estimators': 50}",40,0.300476755269,40.0117891853,0.687183124704,106.941092398,0.063201546669,0.0071314573288,0.193353184718,33.4646516063
5,8.75708556175,0.497852563858,0.535811302543,77.6445838899,3,60,"{'max_features': 3, 'n_estimators': 60}",32,0.378398947536,49.4854179181,0.693223657551,105.803749862,0.403210401535,0.000259637832642,0.157412355008,28.1591659718
6,10.3061314821,0.569999933243,0.451914606226,91.1161306735,3,70,"{'max_features': 3, 'n_estimators': 70}",58,0.488985473255,82.6301548158,0.414843739197,99.6021065312,0.483245491982,0.0184528827667,0.0370708670289,8.48597585768
7,10.7094734907,0.621628522873,0.582992945746,101.528897211,3,80,"{'max_features': 3, 'n_estimators': 80}",28,0.611702631997,106.046161537,0.554283259494,97.0116328857,0.167684435844,0.00469756126404,0.0287096862517,4.51726432561
8,12.2538970709,0.697423458099,0.635316857418,101.918294534,3,90,"{'max_features': 3, 'n_estimators': 90}",10,0.645931334107,109.711645403,0.624702380728,94.1249436656,0.126614928246,0.00624060630798,0.0106144766895,7.79335086859
9,14.9634621143,0.769294977188,0.485825699846,90.0208669877,3,100,"{'max_features': 3, 'n_estimators': 100}",42,0.369114734284,92.6847517577,0.602536665409,87.3569822177,1.1319770813,0.00188803672791,0.116710965562,2.66388476999
10,15.7249704599,0.819847583771,0.36762124369,85.424512342,3,110,"{'max_features': 3, 'n_estimators': 110}",80,0.431313922485,100.739512652,0.303928564895,70.1095120323,0.957482457161,0.0247166156769,0.0636926787952,15.3150003097
